zdid,zdmc,station_code,station_telecode,station_shortname
1,北京,10001,BJP,京
2,亦庄,10004,YUP,亦
3,武清,10007,WWP,武
4,南仓所,10008,NVP,南
5,北京南,10010,VNP,京
6,丰台,10025,FTP,丰
7,黄土坡,10034,HTP,黄
8,黄村,10037,HCP,黄
9,魏善庄,10064,WSP,魏
10,安定,10067,ADP,安
11,万庄,10070,WZP,万
12,廊坊北,10073,LFP,廊
13,落垡,10076,LOP,落
14,豆张庄,10079,RZP,豆
15,杨村,10082,YBP,杨
16,汉沟镇,10091,HZP,汉
17,北仓,10094,BCP,北
18,南仓,10100,NCP,南
19,天津北,10148,TBP,津
20,天津,10157,TJP,津
21,塘沽,10172,TGP,塘
22,泰达,10173,TDA,泰
23,茶淀,10193,CVP,茶
24,汉沽,10196,HGP,汉
25,芦台,10199,LTP,芦
26,田庄,10202,TWP,田
27,唐坊,10205,TFP,唐
28,丰南,10211,FDP,丰
29,唐山,10214,TSP,唐
30,石郎庄,10250,OLP,石
31,福山寺,10253,FSP,福
32,马柳,10256,MLP,马
33,杨各庄,10262,AGP,杨
34,滦县,10268,UXP,滦
35,滦县东,10271,LXP,滦
36,昌黎,10292,CLP,昌
37,北戴河,10307,BEP,北
38,秦皇岛,10319,QTP,秦
39,龙家营,10328,LKP,龙
40,山海关,10331,SHD,山
41,东戴河,10334,RDD,东
42,龙家营所,10363,UFP,龙
43,广安门,10436,GAP,广
44,曹子里,10493,CFP,曹
45,崔黄口,10499,CHP,崔
46,大口屯,10502,DKP,大
47,宝坻,10508,BPP,宝
48,下仓,10514,ECP,下
49,上仓,10520,SKP,上
50,蓟县,10526,JKP,蓟
51,三百吨,10676,SUP,三
52,燕郊,11108,AJP,燕
53,大厂县,11117,REP,大
54,三平,11120,OWP,三
55,三河县,11123,OXP,三
56,段甲岭,11126,RJP,段
57,蓟县南,11132,JIP,蓟
58,别山,11138,BSP,别
59,螺山,11141,LSP,螺
60,玉田县,11147,ATP,玉
61,富庄子,11153,FIP,富
62,唐山北,11159,FUP,唐
63,狼窝铺,11186,UOP,狼
64,沙子河,11189,OPP,沙
65,马铺营,11192,MPP,马
66,迁安,11198,QQP,迁
67,卢龙,11210,UAP,卢
68,抚宁,11219,FNP,抚
69,双桥,11333,SQP,双
70,通州西,11354,TAP,通
71,张辛,11363,ZIP,张
72,顺义,11366,SOP,顺
73,高各庄,11372,GGP,高
74,庙城,11375,MAP,庙
75,怀柔,11378,HRP,怀
76,统军庄,11381,TZP,统
77,密云北,11387,MUP,密
78,六道河子,11426,LVP,六
79,前苇塘,11429,QWP,前
80,兴隆县,11432,EXP,兴
81,北马圈子,11438,BRP,北
82,鹰手营子,11441,YIP,鹰
83,洞庙河,11444,DEP,洞
84,下台子,11465,EIP,下
85,潘家店,11471,PDP,潘
86,南湾子,11472,NWP,南
87,新杖子,11477,ERP,新
88,西大庙,11480,XMP,西
89,上板城南,11483,OBP,上
90,上板城,11486,SBP,上
91,承德东,11489,CCP,承
92,承德,11492,CDP,承
93,北京东,12158,BOP,京
94,沙河,12170,SHP,沙
95,昌平,12173,CPP,昌
96,南口,12176,NKP,南
97,青龙桥,12212,QLP,青
98,八达岭,12215,ILP,八
99,康庄,12221,KZP,康
100,东花园,12242,DNP,东
101,狼山,12248,LEP,狼
102,沙城,12254,SCP,沙
103,新保安,12275,XAP,新
104,西八里,12278,XLP,西
105,下花园,12281,XYP,下
106,宣化,12290,XHP,宣
107,沙岭子,12302,SLP,沙
108,张家口南,12308,ZMP,张
109,孔家庄,12320,KJP,孔
110,郭磊庄,12326,GLP,郭
111,柴沟堡,12332,CGV,柴
112,永嘉堡,12344,YJV,永
113,天镇,12350,TZV,安
114,阳高,12362,YOV,阳
115,大同东,12389,DDV,大
116,大同,12392,DTV,大
117,古店,12440,GIV,古
118,孤山,12449,GSC,孤
119,堡子湾,12455,PZC,堡
120,丰镇,12461,FZC,丰
121,新安庄,12467,XAC,新
122,永王庄,12470,YWC,永
123,红砂坝,12473,HSC,红
124,土贵乌拉,12479,TGC,土
125,苏集,12485,SJC,苏
126,古营盘,12488,GYC,古
127,集宁南,12494,JAC,集
128,八苏木,12524,BSC,八
129,十八台,12530,SBC,十
130,马盖图,12536,MGC,马
131,卓资山,12542,ZZC,卓
132,卓资东,12543,ZDC,卓
133,福生庄,12548,FSC,福
134,三道营,12554,SDC,三
135,旗下营,12560,QXC,旗
136,旗下营东,12561,QDC,旗
137,民族,12566,MZC,民
138,陶卜齐,12569,TBC,陶
139,白塔,12575,BOC,白
140,呼和浩特东,12578,NDC,呼
141,呼和浩特,12581,HHC,呼
142,台阁牧,12596,TMC,台
143,毕克齐,12602,BKC,毕
144,察素齐,12605,CSC,察
145,陶思浩,12611,TSC,陶
146,美岱召,12617,MDC,美
147,萨拉齐东,12622,SCC,萨
148,萨拉齐,12623,SLC,萨
149,公积坂,12629,GJC,公
150,东兴,12635,DXC,东
151,包头东,12647,BDC,包
152,清河,12707,QIP,清
