lcbm,lcdm,lcyn
列车编码,列车代码,列车运量
574,1266,#N/A
575,1486,1346
594,1646,#N/A
572,1718,1520
665,1914,#N/A
22,3021,2582
3,3022,2596
534,3056,3360
686,3126,3200
51,3147,1658
52,3148,3152
279,3195,#N/A
280,3196,3112
476,3218,2744
595,3236,2492
591,3248,2580
501,3255,1942
687,3258,3035
361,3277,1788
362,3278,1692
502,3305,1487
128,3307,#N/A
576,3308,3317
734,3311,1320
522,3338,3157
87,3349,1251
88,3350,2254
471,3352,1260
661,3405,2294
605,3434,2734
457,3496,2740
523,3516,3317
372,3541,#N/A
237,3542,2296
688,3564,2816
550,3573,451
373,3587,3002
374,3588,3001
524,3600,2664
34,3603,2560
35,3604,2650
689,3634,3102
468,3645,2414
53,3646,2652
25,3663,1256
690,3674,1852
54,3707,3152
55,3708,3002
737,3738,2498
56,3773,1713
520,3802,825
238,3804,1880
57,3805,2077
58,3806,2960
738,3808,2860
606,3836,2392
239,3840,#N/A
472,3841,1658
89,3842,#N/A
26,3855,3191
27,3856,3440
691,3874,2434
607,3906,2879
774,6003,2494
758,6061,2112
692,6066,1278
759,6161,1352
253,C6301,684
254,C6302,703
255,C6303,704
256,C6304,684
257,C6305,684
258,C6306,704
259,C6307,684
260,C6308,684
261,C6309,685
262,C6310,688
263,C6311,685
264,C6312,685
265,C6314,685
266,C6315,546
267,C6316,546
268,C6317,546
269,C6318,546
278,C6319,1092
270,C6324,100
271,C6325,60
272,C6326,71
273,C6362,684
274,C6363,684
105,D211,698
106,D212,694
281,D2201,694
129,D2202,698
130,D2207,#N/A
131,D2208,1463
503,D2214,1463
504,D2218,1463
282,D2223,#N/A
132,D2224,1463
608,D2228,698
609,D2234,698
133,D2237,#N/A
134,D2238,1396
135,D2243,#N/A
136,D2244,1395
610,D2248,1463
611,D2252,657
137,D2255,689
138,D2256,686
139,D2259,676
140,D2260,657
141,D2263,#N/A
142,D2264,1463
612,D2266,698
637,D2272,698
613,D2278,698
107,D2801,698
411,D2802,630
108,D2804,694
109,D2805,698
110,D2806,694
111,D2807,698
112,D2808,694
113,D2809,698
114,D2810,694
115,D2811,698
116,D2813,698
117,D2814,694
118,D2815,698
119,D2816,694
120,D2817,698
121,D2818,694
122,D2819,698
123,D2820,694
412,D2821,698
413,D2822,694
414,D2823,698
415,D2824,694
416,D2825,698
417,D2826,694
418,D2827,1396
419,D2828,1388
420,D2829,698
421,D2830,694
422,D2851,698
423,D2852,694
424,D2853,698
425,D2854,694
426,D2855,698
427,D2856,694
428,D2857,698
429,D2858,694
430,D2859,698
431,D2860,694
432,D2861,698
433,D2862,694
434,D2863,698
435,D2864,694
722,D3521,556
723,D3523,698
724,D3525,698
725,D3527,698
726,D3529,698
143,D353,#N/A
144,D354,836
727,D3551,698
728,D3553,698
145,D367,#N/A
146,D368,686
614,D4058,694
436,D4501,554
437,D4502,556
438,D4503,554
439,D4504,556
440,D4505,554
441,D4506,556
442,D4507,554
443,D4508,556
444,D4509,556
445,D4510,556
446,D4511,556
447,D4512,556
615,D4526,876
473,D4551,698
448,D4552,694
449,D4554,#N/A
729,D4561,698
450,D4651,698
451,D4652,694
147,D5101,1378
148,D5102,1418
149,D5103,1378
150,D5104,1418
151,D5105,1418
152,D5106,1418
153,D5107,1418
154,D5108,1378
283,D5109,1418
155,D5110,1418
156,D5111,1418
157,D5112,1418
464,D5113,1418
158,D5114,1418
159,D5115,1418
160,D5116,1418
161,D5117,1418
162,D5118,1418
163,D5119,1418
164,D5120,1418
165,D5121,1418
166,D5122,1418
167,D5123,1418
168,D5124,1418
169,D5125,1418
170,D5126,1418
171,D5127,1378
172,D5128,1418
465,D5129,1378
173,D5130,1418
174,D5131,1378
175,D5132,1418
284,D5133,1378
176,D5134,688
177,D5135,1378
178,D5136,688
179,D5137,1378
180,D5138,1094
181,D5139,688
182,D5140,1094
183,D5145,1094
184,D5146,1092
185,D5147,1059
186,D5148,546
187,D5149,546
188,D5150,546
189,D5157,688
541,D5401,716
505,D5403,716
495,D5405,554
496,D5411,696
506,D5412,696
544,D5417,696
545,D5418,696
190,D6122,688
191,D6123,700
192,D6124,700
193,D6126,1378
194,D6127,688
195,D6131,546
196,D6132,546
197,D6133,1059
198,D6134,1059
285,D6135,1378
199,D6136,1380
200,D6137,1208
201,D6138,1208
286,D6139,700
202,D6140,709
287,D6147,1094
203,D6149,688
204,D6150,688
205,D6151,1378
206,D6152,1378
288,D6165,546
207,D6166,546
208,D6169,1378
209,D6170,1378
210,D6171,686
211,D6172,688
289,D6173,1059
212,D6177,688
213,D6178,681
214,D6179,700
215,D6180,700
596,D628,#N/A
216,D633,#N/A
217,D634,683
218,D637,#N/A
219,D638,698
739,D658,696
466,D67,#N/A
220,D8529,1416
470,D915,#N/A
616,G1314,556
221,G1317,#N/A
222,G1318,556
389,G1321,556
390,G1322,556
391,G1323,556
392,G1324,556
393,G1325,556
394,G1326,1005
395,G1327,556
396,G1328,556
397,G1329,1005
398,G1330,556
399,G1360,#N/A
497,G1484,556
640,G1512,556
638,G1522,556
639,G1524,1061
635,G1532,556
636,G1534,1061
641,G1686,556
642,G2102,556
643,G2104,556
644,G2106,556
645,G2108,556
400,G2302,1112
646,G2304,1112
647,G2308,556
648,G2334,556
498,G2336,556
649,G2364,1112
452,G2917,606
453,G2918,585
650,G3002,556
651,G3004,527
652,G3006,556
653,G3008,556
654,G3010,556
655,G3012,556
656,G3014,#N/A
21,G307,1061
15,G308,1061
36,G309,1061
37,G310,1061
290,G313,#N/A
223,G314,556
507,G316,960
379,G401,556
380,G402,1028
381,G403,556
382,G404,480
383,G442,#N/A
546,G4832,997
401,G4833,1005
402,G4834,1005
403,G4835,1005
404,G4836,1005
499,G4838,1112
547,G4840,#N/A
405,G4913,556
406,G4914,554
384,G81,1028
385,G82,556
291,G8501,1106
292,G8502,1106
293,G8503,1106
294,G8504,552
295,G8505,1106
296,G8506,1106
297,G8507,1106
298,G8508,1106
299,G8509,1106
300,G8510,1106
301,G8511,1106
302,G8512,1106
303,G8513,552
304,G8514,1106
305,G8515,1106
306,G8516,1106
307,G8517,1106
308,G8518,1106
309,G8519,1106
310,G8520,1106
311,G8521,1106
312,G8522,552
313,G8523,1106
314,G8524,1106
315,G8525,1106
316,G8526,1106
317,G8527,552
318,G8528,1106
319,G8529,1106
320,G8530,1106
321,G8531,1106
322,G8532,1106
323,G8533,1106
324,G8534,552
325,G8535,1106
326,G8536,1106
327,G8537,1106
328,G8538,1106
329,G8539,552
330,G8540,1106
331,G8541,1106
332,G8542,1106
333,G8543,1106
334,G8544,1106
335,G8545,552
336,G8546,1106
337,G8547,1106
338,G8548,1106
339,G8549,1106
340,G8550,1106
341,G8551,1106
342,G8552,552
343,G8553,1106
344,G8554,1106
345,G8555,1106
346,G8556,1106
347,G8557,1106
348,G8558,1106
349,G8560,1106
350,G8561,552
351,G8562,552
693,K1004,1842
740,K1022,#N/A
694,K1034,1696
617,K1048,#N/A
